20mm Poly Pipe,,40mm Poly Pipe,,63mm Poly Pipe,,90mm Poly Pipe,,110mm Poly Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.3351,10.433,0.3351,74.972,,,,,,
0.3352,10.435,0.3352,74.983,,,,,,
0.3353,10.437,0.3353,74.994,,,,,,
0.3354,10.439,0.3354,75.006,,,,,,
0.3355,10.441,0.3355,75.017,,,,,,
0.3356,10.443,0.3356,75.028,,,,,,
0.3357,10.445,0.3357,75.039,,,,,,
0.3358,10.446,0.3358,75.051,,,,,,
0.3359,10.448,0.3359,75.062,,,,,,
0.336,10.45,0.336,75.073,,,,,,
0.3361,10.452,0.3361,75.085,,,,,,
0.3362,10.454,0.3362,75.096,,,,,,
0.3363,10.456,0.3363,75.107,,,,,,
0.3364,10.458,0.3364,75.118,,,,,,
0.3365,10.46,0.3365,75.13,,,,,,
0.3366,10.462,0.3366,75.141,,,,,,
0.3367,10.464,0.3367,75.152,,,,,,
0.3368,10.466,0.3368,75.164,,,,,,
0.3369,10.467,0.3369,75.175,,,,,,
0.337,10.469,0.337,75.186,,,,,,
0.3371,10.471,0.3371,75.198,,,,,,
0.3372,10.473,0.3372,75.209,,,,,,
0.3373,10.475,0.3373,75.22,,,,,,
0.3374,10.477,0.3374,75.231,,,,,,
0.3375,10.479,0.3375,75.243,,,,,,
0.3376,10.481,0.3376,75.254,,,,,,
0.3377,10.483,0.3377,75.265,,,,,,
0.3378,10.485,0.3378,75.277,,,,,,
0.3379,10.487,0.3379,75.288,,,,,,
0.338,10.489,0.338,75.299,,,,,,
0.3381,10.49,0.3381,75.31,,,,,,
0.3382,10.492,0.3382,75.322,,,,,,
0.3383,10.494,0.3383,75.333,,,,,,
0.3384,10.496,0.3384,75.344,,,,,,
0.3385,10.498,0.3385,75.356,,,,,,
0.3386,10.5,0.3386,75.367,,,,,,
0.3387,10.502,0.3387,75.378,,,,,,
0.3388,10.504,0.3388,75.39,,,,,,
0.3389,10.506,0.3389,75.401,,,,,,
0.339,10.508,0.339,75.412,,,,,,
0.3391,10.51,0.3391,75.423,,,,,,
0.3392,10.511,0.3392,75.435,,,,,,
0.3393,10.513,0.3393,75.446,,,,,,
0.3394,10.515,0.3394,75.457,,,,,,
0.3395,10.517,0.3395,75.469,,,,,,
0.3396,10.519,0.3396,75.48,,,,,,
0.3397,10.521,0.3397,75.491,,,,,,
0.3398,10.523,0.3398,75.502,,,,,,
0.3399,10.525,0.3399,75.514,,,,,,
0.34,10.527,0.34,75.525,,,,,,
0.3401,10.529,0.3401,75.536,,,,,,
0.3402,10.531,0.3402,75.548,,,,,,
0.3403,10.533,0.3403,75.559,,,,,,
0.3404,10.534,0.3404,75.57,,,,,,
0.3405,10.536,0.3405,75.581,,,,,,
0.3406,10.538,0.3406,75.593,,,,,,
0.3407,10.54,0.3407,75.604,,,,,,
0.3408,10.542,0.3408,75.615,,,,,,
0.3409,10.544,0.3409,75.627,,,,,,
0.341,10.546,0.341,75.638,,,,,,
0.3411,10.548,0.3411,75.649,,,,,,
0.3412,10.55,0.3412,75.661,,,,,,
0.3413,10.552,0.3413,75.672,,,,,,
0.3414,10.554,0.3414,75.683,,,,,,
0.3415,10.556,0.3415,75.694,,,,,,
0.3416,10.557,0.3416,75.706,,,,,,
0.3417,10.559,0.3417,75.717,,,,,,
0.3418,10.561,0.3418,75.728,,,,,,
0.3419,10.563,0.3419,75.74,,,,,,
0.342,10.565,0.342,75.751,,,,,,
0.3421,10.567,0.3421,75.762,,,,,,
0.3422,10.569,0.3422,75.773,,,,,,
0.3423,10.571,0.3423,75.785,,,,,,
0.3424,10.573,0.3424,75.796,,,,,,
0.3425,10.575,0.3425,75.807,,,,,,
0.3426,10.577,0.3426,75.819,,,,,,
0.3427,10.578,0.3427,75.83,,,,,,
0.3428,10.58,0.3428,75.841,,,,,,
0.3429,10.582,0.3429,75.852,,,,,,
0.343,10.584,0.343,75.864,,,,,,
0.3431,10.586,0.3431,75.875,,,,,,
0.3432,10.588,0.3432,75.886,,,,,,
0.3433,10.59,0.3433,75.898,,,,,,
0.3434,10.592,0.3434,75.909,,,,,,
0.3435,10.594,0.3435,75.92,,,,,,
0.3436,10.596,0.3436,75.932,,,,,,
0.3437,10.598,0.3437,75.943,,,,,,
0.3438,10.6,0.3438,75.954,,,,,,
0.3439,10.601,0.3439,75.965,,,,,,
0.344,10.603,0.344,75.977,,,,,,
0.3441,10.605,0.3441,75.988,,,,,,
0.3442,10.607,0.3442,75.999,,,,,,
0.3443,10.609,0.3443,76.011,,,,,,
0.3444,10.611,0.3444,76.022,,,,,,
0.3445,10.613,0.3445,76.033,,,,,,
0.3446,10.615,0.3446,76.044,,,,,,
0.3447,10.617,0.3447,76.056,,,,,,
0.3448,10.619,0.3448,76.067,,,,,,
0.3449,10.621,0.3449,76.078,,,,,,
0.345,10.623,0.345,76.09,,,,,,
0.3451,10.624,0.3451,76.101,,,,,,
0.3452,10.626,0.3452,76.112,,,,,,
0.3453,10.628,0.3453,76.124,,,,,,
0.3454,10.63,0.3454,76.135,,,,,,
0.3455,10.632,0.3455,76.146,,,,,,
0.3456,10.634,0.3456,76.157,,,,,,
0.3457,10.636,0.3457,76.169,,,,,,
0.3458,10.638,0.3458,76.18,,,,,,
0.3459,10.64,0.3459,76.191,,,,,,
0.346,10.642,0.346,76.203,,,,,,
0.3461,10.644,0.3461,76.214,,,,,,
0.3462,10.645,0.3462,76.225,,,,,,
0.3463,10.647,0.3463,76.236,,,,,,
0.3464,10.649,0.3464,76.248,,,,,,
0.3465,10.651,0.3465,76.259,,,,,,
0.3466,10.653,0.3466,76.27,,,,,,
0.3467,10.655,0.3467,76.282,,,,,,
0.3468,10.657,0.3468,76.293,,,,,,
0.3469,10.659,0.3469,76.304,,,,,,
0.347,10.661,0.347,76.315,,,,,,
0.3471,10.663,0.3471,76.327,,,,,,
0.3472,10.665,0.3472,76.338,,,,,,
0.3473,10.667,0.3473,76.349,,,,,,
0.3474,10.668,0.3474,76.361,,,,,,
0.3475,10.67,0.3475,76.372,,,,,,
0.3476,10.672,0.3476,76.383,,,,,,
0.3477,10.674,0.3477,76.395,,,,,,
0.3478,10.676,0.3478,76.406,,,,,,
0.3479,10.678,0.3479,76.417,,,,,,
0.348,10.68,0.348,76.428,,,,,,
0.3481,10.682,0.3481,76.44,,,,,,
0.3482,10.684,0.3482,76.451,,,,,,
0.3483,10.686,0.3483,76.462,,,,,,
0.3484,10.688,0.3484,76.474,,,,,,
0.3485,10.689,0.3485,76.485,,,,,,
0.3486,10.691,0.3486,76.496,,,,,,
0.3487,10.693,0.3487,76.507,,,,,,
0.3488,10.695,0.3488,76.519,,,,,,
0.3489,10.697,0.3489,76.53,,,,,,
0.349,10.699,0.349,76.541,,,,,,
0.3491,10.701,0.3491,76.553,,,,,,
0.3492,10.703,0.3492,76.564,,,,,,
0.3493,10.705,0.3493,76.575,,,,,,
0.3494,10.707,0.3494,76.587,,,,,,
0.3495,10.709,0.3495,76.598,,,,,,
0.3496,10.711,0.3496,76.609,,,,,,
0.3497,10.712,0.3497,76.62,,,,,,
0.3498,10.714,0.3498,76.632,,,,,,
0.3499,10.716,0.3499,76.643,,,,,,
0.35,10.718,0.35,76.654,,,,,,
0.3501,10.72,0.3501,76.666,,,,,,
0.3502,10.722,0.3502,76.677,,,,,,
0.3503,10.724,0.3503,76.688,,,,,,
0.3504,10.726,0.3504,76.699,,,,,,
0.3505,10.728,0.3505,76.711,,,,,,
0.3506,10.73,0.3506,76.722,,,,,,
0.3507,10.732,0.3507,76.733,,,,,,
0.3508,10.734,0.3508,76.745,,,,,,
0.3509,10.735,0.3509,76.756,,,,,,
0.351,10.737,0.351,76.767,,,,,,
0.3511,10.739,0.3511,76.778,,,,,,
0.3512,10.741,0.3512,76.79,,,,,,
0.3513,10.743,0.3513,76.801,,,,,,
0.3514,10.745,0.3514,76.812,,,,,,
0.3515,10.747,0.3515,76.824,,,,,,
0.3516,10.749,0.3516,76.835,,,,,,
0.3517,10.751,0.3517,76.846,,,,,,
0.3518,10.753,0.3518,76.858,,,,,,
0.3519,10.755,0.3519,76.869,,,,,,
0.352,10.756,0.352,76.88,,,,,,
0.3521,10.758,0.3521,76.891,,,,,,
0.3522,10.76,0.3522,76.903,,,,,,
0.3523,10.762,0.3523,76.914,,,,,,
0.3524,10.764,0.3524,76.925,,,,,,
0.3525,10.766,0.3525,76.937,,,,,,
0.3526,10.768,0.3526,76.948,,,,,,
0.3527,10.77,0.3527,76.959,,,,,,
0.3528,10.772,0.3528,76.97,,,,,,
0.3529,10.774,0.3529,76.982,,,,,,
0.353,10.776,0.353,76.993,,,,,,
0.3531,10.778,0.3531,77.004,,,,,,
0.3532,10.779,0.3532,77.016,,,,,,
0.3533,10.781,0.3533,77.027,,,,,,
0.3534,10.783,0.3534,77.038,,,,,,
0.3535,10.785,0.3535,77.049,,,,,,
0.3536,10.787,0.3536,77.061,,,,,,
0.3537,10.789,0.3537,77.072,,,,,,
0.3538,10.791,0.3538,77.083,,,,,,
0.3539,10.793,0.3539,77.095,,,,,,
0.354,10.795,0.354,77.106,,,,,,
0.3541,10.797,0.3541,77.117,,,,,,
0.3542,10.799,0.3542,77.129,,,,,,
0.3543,10.8,0.3543,77.14,,,,,,
0.3544,10.802,0.3544,77.151,,,,,,
0.3545,10.804,0.3545,77.162,,,,,,
0.3546,10.806,0.3546,77.174,,,,,,
0.3547,10.808,0.3547,77.185,,,,,,
0.3548,10.81,0.3548,77.196,,,,,,
0.3549,10.812,0.3549,77.208,,,,,,
0.355,10.814,0.355,77.219,,,,,,
0.3551,10.816,0.3551,77.23,,,,,,
0.3552,10.818,0.3552,77.241,,,,,,
0.3553,10.82,0.3553,77.253,,,,,,
0.3554,10.822,0.3554,77.264,,,,,,
0.3555,10.823,0.3555,77.275,,,,,,
0.3556,10.825,0.3556,77.287,,,,,,
0.3557,10.827,0.3557,77.298,,,,,,
0.3558,10.829,0.3558,77.309,,,,,,
0.3559,10.831,0.3559,77.321,,,,,,
0.356,10.833,0.356,77.332,,,,,,
0.3561,10.835,0.3561,77.343,,,,,,
0.3562,10.837,0.3562,77.354,,,,,,
0.3563,10.839,0.3563,77.366,,,,,,
0.3564,10.841,0.3564,77.377,,,,,,
0.3565,10.843,0.3565,77.388,,,,,,
0.3566,10.845,0.3566,77.4,,,,,,
0.3567,10.846,0.3567,77.411,,,,,,
0.3568,10.848,0.3568,77.422,,,,,,
0.3569,10.85,0.3569,77.433,,,,,,
0.357,10.852,0.357,77.445,,,,,,
0.3571,10.854,0.3571,77.456,,,,,,
0.3572,10.856,0.3572,77.467,,,,,,
0.3573,10.858,0.3573,77.479,,,,,,
0.3574,10.86,0.3574,77.49,,,,,,
0.3575,10.862,0.3575,77.501,,,,,,
0.3576,10.864,0.3576,77.512,,,,,,
0.3577,10.866,0.3577,77.524,,,,,,
0.3578,10.867,0.3578,77.535,,,,,,
0.3579,10.869,0.3579,77.546,,,,,,
0.358,10.871,0.358,77.558,,,,,,
0.3581,10.873,0.3581,77.569,,,,,,
0.3582,10.875,0.3582,77.58,,,,,,
0.3583,10.877,0.3583,77.592,,,,,,
0.3584,10.879,0.3584,77.603,,,,,,
0.3585,10.881,0.3585,77.614,,,,,,
0.3586,10.883,0.3586,77.625,,,,,,
0.3587,10.885,0.3587,77.637,,,,,,
0.3588,10.887,0.3588,77.648,,,,,,
0.3589,10.889,0.3589,77.659,,,,,,
0.359,10.89,0.359,77.671,,,,,,
0.3591,10.892,0.3591,77.682,,,,,,
0.3592,10.894,0.3592,77.693,,,,,,
0.3593,10.896,0.3593,77.704,,,,,,
0.3594,10.898,0.3594,77.716,,,,,,
0.3595,10.9,0.3595,77.727,,,,,,
0.3596,10.902,0.3596,77.738,,,,,,
0.3597,10.904,0.3597,77.75,,,,,,
0.3598,10.906,0.3598,77.761,,,,,,
0.3599,10.908,0.3599,77.772,,,,,,
0.36,10.91,0.36,77.783,,,,,,
0.3601,10.912,0.3601,77.795,,,,,,
0.3602,10.913,0.3602,77.806,,,,,,
0.3603,10.915,0.3603,77.817,,,,,,
0.3604,10.917,0.3604,77.829,,,,,,
0.3605,10.919,0.3605,77.84,,,,,,
0.3606,10.921,0.3606,77.851,,,,,,
0.3607,10.923,0.3607,77.863,,,,,,
0.3608,10.925,0.3608,77.874,,,,,,
0.3609,10.927,0.3609,77.885,,,,,,
0.361,10.929,0.361,77.896,,,,,,
0.3611,10.931,0.3611,77.908,,,,,,
0.3612,10.933,0.3612,77.919,,,,,,
0.3613,10.934,0.3613,77.93,,,,,,
0.3614,10.936,0.3614,77.942,,,,,,
0.3615,10.938,0.3615,77.953,,,,,,
0.3616,10.94,0.3616,77.964,,,,,,
0.3617,10.942,0.3617,77.975,,,,,,
0.3618,10.944,0.3618,77.987,,,,,,
0.3619,10.946,0.3619,77.998,,,,,,
0.362,10.948,0.362,78.009,,,,,,
0.3621,10.95,0.3621,78.021,,,,,,
0.3622,10.952,0.3622,78.032,,,,,,
0.3623,10.954,0.3623,78.043,,,,,,
0.3624,10.956,0.3624,78.055,,,,,,
0.3625,10.957,0.3625,78.066,,,,,,
0.3626,10.959,0.3626,78.077,,,,,,
0.3627,10.961,0.3627,78.088,,,,,,
0.3628,10.963,0.3628,78.1,,,,,,
0.3629,10.965,0.3629,78.111,,,,,,
0.363,10.967,0.363,78.122,,,,,,
0.3631,10.969,0.3631,78.134,,,,,,
0.3632,10.971,0.3632,78.145,,,,,,
0.3633,10.973,0.3633,78.156,,,,,,
0.3634,10.975,0.3634,78.167,,,,,,
0.3635,10.977,0.3635,78.179,,,,,,
0.3636,10.978,0.3636,78.19,,,,,,
0.3637,10.98,0.3637,78.201,,,,,,
0.3638,10.982,0.3638,78.213,,,,,,
0.3639,10.984,0.3639,78.224,,,,,,
0.364,10.986,0.364,78.235,,,,,,
0.3641,10.988,0.3641,78.246,,,,,,
0.3642,10.99,0.3642,78.258,,,,,,
0.3643,10.992,0.3643,78.269,,,,,,
0.3644,10.994,0.3644,78.28,,,,,,
0.3645,10.996,0.3645,78.292,,,,,,
0.3646,10.998,0.3646,78.303,,,,,,
0.3647,11,0.3647,78.314,,,,,,
0.3648,11.001,0.3648,78.326,,,,,,
0.3649,11.003,0.3649,78.337,,,,,,
0.365,11.005,0.365,78.348,,,,,,
0.3651,11.007,0.3651,78.359,,,,,,
0.3652,11.009,0.3652,78.371,,,,,,
0.3653,11.011,0.3653,78.382,,,,,,
0.3654,11.013,0.3654,78.393,,,,,,
0.3655,11.015,0.3655,78.405,,,,,,
0.3656,11.017,0.3656,78.416,,,,,,
0.3657,11.019,0.3657,78.427,,,,,,
0.3658,11.021,0.3658,78.438,,,,,,
0.3659,11.023,0.3659,78.45,,,,,,
0.366,11.024,0.366,78.461,,,,,,
0.3661,11.026,0.3661,78.472,,,,,,
0.3662,11.028,0.3662,78.484,,,,,,
0.3663,11.03,0.3663,78.495,,,,,,
0.3664,11.032,0.3664,78.506,,,,,,
0.3665,11.034,0.3665,78.518,,,,,,
0.3666,11.036,0.3666,78.529,,,,,,
0.3667,11.038,0.3667,78.54,,,,,,
0.3668,11.04,0.3668,78.551,,,,,,
0.3669,11.042,0.3669,78.563,,,,,,
0.367,11.044,0.367,78.574,,,,,,
0.3671,11.045,0.3671,78.585,,,,,,
0.3672,11.047,0.3672,78.597,,,,,,
0.3673,11.049,0.3673,78.608,,,,,,
0.3674,11.051,0.3674,78.619,,,,,,
0.3675,11.053,0.3675,78.63,,,,,,
0.3676,11.055,0.3676,78.642,,,,,,
0.3677,11.057,0.3677,78.653,,,,,,
0.3678,11.059,0.3678,78.664,,,,,,
0.3679,11.061,0.3679,78.676,,,,,,
0.368,11.063,0.368,78.687,,,,,,
0.3681,11.065,0.3681,78.698,,,,,,
0.3682,11.067,0.3682,78.709,,,,,,
0.3683,11.068,0.3683,78.721,,,,,,
0.3684,11.07,0.3684,78.732,,,,,,
0.3685,11.072,0.3685,78.743,,,,,,
0.3686,11.074,0.3686,78.755,,,,,,
0.3687,11.076,0.3687,78.766,,,,,,
0.3688,11.078,0.3688,78.777,,,,,,
0.3689,11.08,0.3689,78.789,,,,,,
0.369,11.082,0.369,78.8,,,,,,
0.3691,11.084,0.3691,78.811,,,,,,
0.3692,11.086,0.3692,78.822,,,,,,
0.3693,11.088,0.3693,78.834,,,,,,
0.3694,11.09,0.3694,78.845,,,,,,
0.3695,11.091,0.3695,78.856,,,,,,
0.3696,11.093,0.3696,78.868,,,,,,
0.3697,11.095,0.3697,78.879,,,,,,
0.3698,11.097,0.3698,78.89,,,,,,
0.3699,11.099,0.3699,78.901,,,,,,
0.37,11.101,0.37,78.913,,,,,,
0.3701,11.103,0.3701,78.924,,,,,,
0.3702,11.105,0.3702,78.935,,,,,,
0.3703,11.107,0.3703,78.947,,,,,,
0.3704,11.109,0.3704,78.958,,,,,,
0.3705,11.111,0.3705,78.969,,,,,,
0.3706,11.112,0.3706,78.98,,,,,,
0.3707,11.114,0.3707,78.992,,,,,,
0.3708,11.116,0.3708,79.003,,,,,,
0.3709,11.118,0.3709,79.014,,,,,,
0.371,11.12,0.371,79.026,,,,,,
0.3711,11.122,0.3711,79.037,,,,,,
0.3712,11.124,0.3712,79.048,,,,,,
0.3713,11.126,0.3713,79.06,,,,,,
0.3714,11.128,0.3714,79.071,,,,,,
0.3715,11.13,0.3715,79.082,,,,,,
0.3716,11.132,0.3716,79.093,,,,,,
0.3717,11.134,0.3717,79.105,,,,,,
0.3718,11.135,0.3718,79.116,,,,,,
0.3719,11.137,0.3719,79.127,,,,,,
0.372,11.139,0.372,79.139,,,,,,
0.3721,11.141,0.3721,79.15,,,,,,
0.3722,11.143,0.3722,79.161,,,,,,
0.3723,11.145,0.3723,79.172,,,,,,
0.3724,11.147,0.3724,79.184,,,,,,
0.3725,11.149,0.3725,79.195,,,,,,
0.3726,11.151,0.3726,79.206,,,,,,
0.3727,11.153,0.3727,79.218,,,,,,
0.3728,11.155,0.3728,79.229,,,,,,
0.3729,11.156,0.3729,79.24,,,,,,
0.373,11.158,0.373,79.252,,,,,,
0.3731,11.16,0.3731,79.263,,,,,,
0.3732,11.162,0.3732,79.274,,,,,,
0.3733,11.164,0.3733,79.285,,,,,,
0.3734,11.166,0.3734,79.297,,,,,,
0.3735,11.168,0.3735,79.308,,,,,,
0.3736,11.17,0.3736,79.319,,,,,,
0.3737,11.172,0.3737,79.331,,,,,,
0.3738,11.174,0.3738,79.342,,,,,,
0.3739,11.176,0.3739,79.353,,,,,,
0.374,11.178,0.374,79.364,,,,,,
0.3741,11.179,0.3741,79.376,,,,,,
0.3742,11.181,0.3742,79.387,,,,,,
0.3743,11.183,0.3743,79.398,,,,,,
0.3744,11.185,0.3744,79.41,,,,,,
0.3745,11.187,0.3745,79.421,,,,,,
0.3746,11.189,0.3746,79.432,,,,,,
0.3747,11.191,0.3747,79.443,,,,,,
0.3748,11.193,0.3748,79.455,,,,,,
0.3749,11.195,0.3749,79.466,,,,,,
0.375,11.197,0.375,79.477,,,,,,
0.3751,11.199,0.3751,79.489,,,,,,
0.3752,11.201,0.3752,79.5,,,,,,
0.3753,11.202,0.3753,79.511,,,,,,
0.3754,11.204,0.3754,79.523,,,,,,
0.3755,11.206,0.3755,79.534,,,,,,
0.3756,11.208,0.3756,79.545,,,,,,
0.3757,11.21,0.3757,79.556,,,,,,
0.3758,11.212,0.3758,79.568,,,,,,
0.3759,11.214,0.3759,79.579,,,,,,
0.376,11.216,0.376,79.59,,,,,,
0.3761,11.218,0.3761,79.602,,,,,,
0.3762,11.22,0.3762,79.613,,,,,,
0.3763,11.222,0.3763,79.624,,,,,,
0.3764,11.223,0.3764,79.635,,,,,,
0.3765,11.225,0.3765,79.647,,,,,,
0.3766,11.227,0.3766,79.658,,,,,,
0.3767,11.229,0.3767,79.669,,,,,,
0.3768,11.231,0.3768,79.681,,,,,,
0.3769,11.233,0.3769,79.692,,,,,,
0.377,11.235,0.377,79.703,,,,,,
0.3771,11.237,0.3771,79.714,,,,,,
0.3772,11.239,0.3772,79.726,,,,,,
0.3773,11.241,0.3773,79.737,,,,,,
0.3774,11.243,0.3774,79.748,,,,,,
0.3775,11.245,0.3775,79.76,,,,,,
0.3776,11.246,0.3776,79.771,,,,,,
0.3777,11.248,0.3777,79.782,,,,,,
0.3778,11.25,0.3778,79.794,,,,,,
0.3779,11.252,0.3779,79.805,,,,,,
0.378,11.254,0.378,79.816,,,,,,
0.3781,11.256,0.3781,79.827,,,,,,
0.3782,11.258,0.3782,79.839,,,,,,
0.3783,11.26,0.3783,79.85,,,,,,
0.3784,11.262,0.3784,79.861,,,,,,
0.3785,11.264,0.3785,79.873,,,,,,
0.3786,11.266,0.3786,79.884,,,,,,
0.3787,11.268,0.3787,79.895,,,,,,
0.3788,11.269,0.3788,79.906,,,,,,
0.3789,11.271,0.3789,79.918,,,,,,
0.379,11.273,0.379,79.929,,,,,,
0.3791,11.275,0.3791,79.94,,,,,,
0.3792,11.277,0.3792,79.952,,,,,,
0.3793,11.279,0.3793,79.963,,,,,,
0.3794,11.281,0.3794,79.974,,,,,,
0.3795,11.283,0.3795,79.986,,,,,,
0.3796,11.285,0.3796,79.997,,,,,,
0.3797,11.287,0.3797,80.008,,,,,,
0.3798,11.289,0.3798,80.019,,,,,,
0.3799,11.29,0.3799,80.031,,,,,,
0.38,11.292,0.38,80.042,,,,,,
0.3801,11.294,0.3801,80.053,,,,,,
0.3802,11.296,0.3802,80.065,,,,,,
0.3803,11.298,0.3803,80.076,,,,,,
0.3804,11.3,0.3804,80.087,,,,,,
0.3805,11.302,0.3805,80.098,,,,,,
0.3806,11.304,0.3806,80.11,,,,,,
0.3807,11.306,0.3807,80.121,,,,,,
0.3808,11.308,0.3808,80.132,,,,,,
0.3809,11.31,0.3809,80.144,,,,,,
0.381,11.312,0.381,80.155,,,,,,
0.3811,11.313,0.3811,80.166,,,,,,
0.3812,11.315,0.3812,80.177,,,,,,
0.3813,11.317,0.3813,80.189,,,,,,
0.3814,11.319,0.3814,80.2,,,,,,
0.3815,11.321,0.3815,80.211,,,,,,
0.3816,11.323,0.3816,80.223,,,,,,
0.3817,11.325,0.3817,80.234,,,,,,
0.3818,11.327,0.3818,80.245,,,,,,
0.3819,11.329,0.3819,80.257,,,,,,
0.382,11.331,0.382,80.268,,,,,,
0.3821,11.333,0.3821,80.279,,,,,,
0.3822,11.334,0.3822,80.29,,,,,,
0.3823,11.336,0.3823,80.302,,,,,,
0.3824,11.338,0.3824,80.313,,,,,,
0.3825,11.34,0.3825,80.324,,,,,,
0.3826,11.342,0.3826,80.336,,,,,,
0.3827,11.344,0.3827,80.347,,,,,,
0.3828,11.346,0.3828,80.358,,,,,,
0.3829,11.348,0.3829,80.369,,,,,,
0.383,11.35,0.383,80.381,,,,,,
0.3831,11.352,0.3831,80.392,,,,,,
0.3832,11.354,0.3832,80.403,,,,,,
0.3833,11.356,0.3833,80.415,,,,,,
0.3834,11.357,0.3834,80.426,,,,,,
0.3835,11.359,0.3835,80.437,,,,,,
0.3836,11.361,0.3836,80.448,,,,,,
0.3837,11.363,0.3837,80.46,,,,,,
0.3838,11.365,0.3838,80.471,,,,,,
0.3839,11.367,0.3839,80.482,,,,,,
0.384,11.369,0.384,80.494,,,,,,
0.3841,11.371,0.3841,80.505,,,,,,
0.3842,11.373,0.3842,80.516,,,,,,
0.3843,11.375,0.3843,80.528,,,,,,
0.3844,11.377,0.3844,80.539,,,,,,
0.3845,11.379,0.3845,80.55,,,,,,
0.3846,11.38,0.3846,80.561,,,,,,
0.3847,11.382,0.3847,80.573,,,,,,
0.3848,11.384,0.3848,80.584,,,,,,
0.3849,11.386,0.3849,80.595,,,,,,
0.385,11.388,0.385,80.607,,,,,,
0.3851,11.39,0.3851,80.618,,,,,,
0.3852,11.392,0.3852,80.629,,,,,,
0.3853,11.394,0.3853,80.64,,,,,,
0.3854,11.396,0.3854,80.652,,,,,,
0.3855,11.398,0.3855,80.663,,,,,,
0.3856,11.4,0.3856,80.674,,,,,,
0.3857,11.401,0.3857,80.686,,,,,,
0.3858,11.403,0.3858,80.697,,,,,,
0.3859,11.405,0.3859,80.708,,,,,,
0.386,11.407,0.386,80.72,,,,,,
0.3861,11.409,0.3861,80.731,,,,,,
0.3862,11.411,0.3862,80.742,,,,,,
0.3863,11.413,0.3863,80.753,,,,,,
0.3864,11.415,0.3864,80.765,,,,,,
0.3865,11.417,0.3865,80.776,,,,,,
0.3866,11.419,0.3866,80.787,,,,,,
0.3867,11.421,0.3867,80.799,,,,,,
0.3868,11.423,0.3868,80.81,,,,,,
0.3869,11.424,0.3869,80.821,,,,,,
0.387,11.426,0.387,80.832,,,,,,
0.3871,11.428,0.3871,80.844,,,,,,
0.3872,11.43,0.3872,80.855,,,,,,
0.3873,11.432,0.3873,80.866,,,,,,
0.3874,11.434,0.3874,80.878,,,,,,
0.3875,11.436,0.3875,80.889,,,,,,
0.3876,11.438,0.3876,80.9,,,,,,
0.3877,11.44,0.3877,80.911,,,,,,
0.3878,11.442,0.3878,80.923,,,,,,
0.3879,11.444,0.3879,80.934,,,,,,
0.388,11.446,0.388,80.945,,,,,,
0.3881,11.447,0.3881,80.957,,,,,,
0.3882,11.449,0.3882,80.968,,,,,,
0.3883,11.451,0.3883,80.979,,,,,,
0.3884,11.453,0.3884,80.991,,,,,,
0.3885,11.455,0.3885,81.002,,,,,,
0.3886,11.457,0.3886,81.013,,,,,,
0.3887,11.459,0.3887,81.024,,,,,,
0.3888,11.461,0.3888,81.036,,,,,,
0.3889,11.463,0.3889,81.047,,,,,,
0.389,11.465,0.389,81.058,,,,,,
0.3891,11.467,0.3891,81.07,,,,,,
0.3892,11.468,0.3892,81.081,,,,,,
0.3893,11.47,0.3893,81.092,,,,,,
0.3894,11.472,0.3894,81.103,,,,,,
0.3895,11.474,0.3895,81.115,,,,,,
0.3896,11.476,0.3896,81.126,,,,,,
0.3897,11.478,0.3897,81.137,,,,,,
0.3898,11.48,0.3898,81.149,,,,,,
0.3899,11.482,0.3899,81.16,,,,,,
0.39,11.484,0.39,81.171,,,,,,
0.3901,11.486,0.3901,81.183,,,,,,
0.3902,11.488,0.3902,81.194,,,,,,
0.3903,11.49,0.3903,81.205,,,,,,
0.3904,11.491,0.3904,81.216,,,,,,
0.3905,11.493,0.3905,81.228,,,,,,
0.3906,11.495,0.3906,81.239,,,,,,
0.3907,11.497,0.3907,81.25,,,,,,
0.3908,11.499,0.3908,81.262,,,,,,
0.3909,11.501,0.3909,81.273,,,,,,
0.391,11.503,0.391,81.284,,,,,,
0.3911,11.505,0.3911,81.295,,,,,,
0.3912,11.507,0.3912,81.307,,,,,,
0.3913,11.509,0.3913,81.318,,,,,,
0.3914,11.511,0.3914,81.329,,,,,,
0.3915,11.512,0.3915,81.341,,,,,,
0.3916,11.514,0.3916,81.352,,,,,,
0.3917,11.516,0.3917,81.363,,,,,,
0.3918,11.518,0.3918,81.374,,,,,,
0.3919,11.52,0.3919,81.386,,,,,,
0.392,11.522,0.392,81.397,,,,,,
0.3921,11.524,0.3921,81.408,,,,,,
0.3922,11.526,0.3922,81.42,,,,,,
0.3923,11.528,0.3923,81.431,,,,,,
0.3924,11.53,0.3924,81.442,,,,,,
0.3925,11.532,0.3925,81.454,,,,,,
0.3926,11.534,0.3926,81.465,,,,,,
0.3927,11.535,0.3927,81.476,,,,,,
0.3928,11.537,0.3928,81.487,,,,,,
0.3929,11.539,0.3929,81.499,,,,,,
0.393,11.541,0.393,81.51,,,,,,
0.3931,11.543,0.3931,81.521,,,,,,
0.3932,11.545,0.3932,81.533,,,,,,
0.3933,11.547,0.3933,81.544,,,,,,
